id;product_name;quantity;price;buyer_name;date
1;portal input;90598;76865;holistic payment North Dakota;2020-02-26
2;salmon upward-trending connect;50210;44495;Buckinghamshire Cambridgeshire;2020-02-26
3;circuit HDD open-source;1403;87119;Investment Account Tools;2020-02-26
4;Legacy Rial Omani;47723;55341;Creek mindshare Wooden;2020-02-26
5;Factors Finland;66445;7374;solid state;2020-02-26
6;overriding Pound Sterling;95082;28808;Auto Loan Account Awesome Grove;2020-02-26
7;tan;30058;45390;transitional;2020-02-26
8;Brand;45796;68369;solid state protocol;2020-02-25
9;Lead Cambridgeshire Dam;43164;18190;Personal Loan Account application;2020-02-25
10;Algeria Pizza Grocery;56299;75741;Web virtual;2020-02-26
